State,Day,Predicted_Population,Model_R²,Model_MAE
Nagaland,1,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,2,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,3,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,4,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,5,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,6,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,7,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,8,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,9,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,10,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,11,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,12,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,13,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,14,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,15,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,16,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,17,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,18,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,19,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,20,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,21,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,22,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,23,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,24,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,25,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,26,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,27,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,28,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,29,2.390567016317016,-4.086300965610061,0.44056701631701606
Nagaland,30,2.390567016317016,-4.086300965610061,0.44056701631701606
