State,Day,Predicted_Population,Model_R²,Model_MAE
Tamil Nadu,1,2.4797313797313807,-0.39705548048434847,1.4521149697524698
Tamil Nadu,2,2.367146242646243,-0.39705548048434847,1.4521149697524698
Tamil Nadu,3,2.2812471972471973,-0.39705548048434847,1.4521149697524698
Tamil Nadu,4,2.0472558552558557,-0.39705548048434847,1.4521149697524698
Tamil Nadu,5,2.3647731435231436,-0.39705548048434847,1.4521149697524698
Tamil Nadu,6,2.2936407481407484,-0.39705548048434847,1.4521149697524698
Tamil Nadu,7,2.077961038961039,-0.39705548048434847,1.4521149697524698
Tamil Nadu,8,2.116697025197025,-0.39705548048434847,1.4521149697524698
Tamil Nadu,9,2.502544871794872,-0.39705548048434847,1.4521149697524698
Tamil Nadu,10,2.5630740925740927,-0.39705548048434847,1.4521149697524698
Tamil Nadu,11,2.6740361305361313,-0.39705548048434847,1.4521149697524698
Tamil Nadu,12,2.6772504162504167,-0.39705548048434847,1.4521149697524698
Tamil Nadu,13,2.4173406038406045,-0.39705548048434847,1.4521149697524698
Tamil Nadu,14,2.372840243090244,-0.39705548048434847,1.4521149697524698
Tamil Nadu,15,2.237873459873461,-0.39705548048434847,1.4521149697524698
Tamil Nadu,16,2.1584268509268516,-0.39705548048434847,1.4521149697524698
Tamil Nadu,17,2.2348500111000114,-0.39705548048434847,1.4521149697524698
Tamil Nadu,18,2.116186230436231,-0.39705548048434847,1.4521149697524698
Tamil Nadu,19,2.1173733766233767,-0.39705548048434847,1.4521149697524698
Tamil Nadu,20,2.1691612554112556,-0.39705548048434847,1.4521149697524698
Tamil Nadu,21,2.2432424242424243,-0.39705548048434847,1.4521149697524698
Tamil Nadu,22,2.41283152958153,-0.39705548048434847,1.4521149697524698
Tamil Nadu,23,2.5025448717948726,-0.39705548048434847,1.4521149697524698
Tamil Nadu,24,2.5630740925740927,-0.39705548048434847,1.4521149697524698
Tamil Nadu,25,2.6740361305361313,-0.39705548048434847,1.4521149697524698
Tamil Nadu,26,2.6772504162504167,-0.39705548048434847,1.4521149697524698
Tamil Nadu,27,2.4173406038406045,-0.39705548048434847,1.4521149697524698
Tamil Nadu,28,2.372840243090244,-0.39705548048434847,1.4521149697524698
Tamil Nadu,29,2.237873459873461,-0.39705548048434847,1.4521149697524698
Tamil Nadu,30,2.1584268509268516,-0.39705548048434847,1.4521149697524698
