State,Day,Predicted_Population,Model_R²,Model_MAE
Uttar Pradesh,1,2.74,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,2,2.83,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,3,1.58,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,4,5.07,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,5,3.11,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,6,2.91,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,7,1.81,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,8,2.12,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,9,2.28,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,10,1.99,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,11,1.73,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,12,2.73,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,13,1.99,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,14,1.77,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,15,2.13,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,16,1.98,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,17,1.97,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,18,2.11,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,19,2.0,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,20,1.99,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,21,2.0,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,22,1.98,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,23,2.0,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,24,2.0,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,25,2.0,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,26,2.0,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,27,2.0,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,28,2.0,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,29,2.0,-0.22784779116465836,0.7952380952380952
Uttar Pradesh,30,2.0,-0.22784779116465836,0.7952380952380952
