State,Day,Predicted_Population,Model_R²,Model_MAE
Jharkhand,1,1.9774999999999998,-0.07510183050889796,2.247929617604618
Jharkhand,2,2.15,-0.07510183050889796,2.247929617604618
Jharkhand,3,2.0,-0.07510183050889796,2.247929617604618
Jharkhand,4,3.8890909090909087,-0.07510183050889796,2.247929617604618
Jharkhand,5,3.81,-0.07510183050889796,2.247929617604618
Jharkhand,6,1.9457142857142855,-0.07510183050889796,2.247929617604618
Jharkhand,7,1.9649318181818183,-0.07510183050889796,2.247929617604618
Jharkhand,8,1.86,-0.07510183050889796,2.247929617604618
Jharkhand,9,1.851,-0.07510183050889796,2.247929617604618
Jharkhand,10,1.9681666666666664,-0.07510183050889796,2.247929617604618
Jharkhand,11,1.9669722222222221,-0.07510183050889796,2.247929617604618
Jharkhand,12,1.9927777777777778,-0.07510183050889796,2.247929617604618
Jharkhand,13,3.8290909090909087,-0.07510183050889796,2.247929617604618
Jharkhand,14,3.81,-0.07510183050889796,2.247929617604618
Jharkhand,15,1.9457142857142855,-0.07510183050889796,2.247929617604618
Jharkhand,16,1.9649318181818183,-0.07510183050889796,2.247929617604618
Jharkhand,17,1.86,-0.07510183050889796,2.247929617604618
Jharkhand,18,1.851,-0.07510183050889796,2.247929617604618
Jharkhand,19,1.9681666666666664,-0.07510183050889796,2.247929617604618
Jharkhand,20,1.9669722222222221,-0.07510183050889796,2.247929617604618
Jharkhand,21,1.9927777777777778,-0.07510183050889796,2.247929617604618
Jharkhand,22,3.8290909090909087,-0.07510183050889796,2.247929617604618
Jharkhand,23,3.81,-0.07510183050889796,2.247929617604618
Jharkhand,24,1.9457142857142855,-0.07510183050889796,2.247929617604618
Jharkhand,25,1.9649318181818183,-0.07510183050889796,2.247929617604618
Jharkhand,26,1.86,-0.07510183050889796,2.247929617604618
Jharkhand,27,1.851,-0.07510183050889796,2.247929617604618
Jharkhand,28,1.9681666666666664,-0.07510183050889796,2.247929617604618
Jharkhand,29,1.9669722222222221,-0.07510183050889796,2.247929617604618
Jharkhand,30,1.9927777777777778,-0.07510183050889796,2.247929617604618
