State,Day,Predicted_Population,Model_R²,Model_MAE
Tripura,1,1.95,-0.17001254261533671,1.3813193431568433
Tripura,2,1.71,-0.17001254261533671,1.3813193431568433
Tripura,3,2.2,-0.17001254261533671,1.3813193431568433
Tripura,4,1.77,-0.17001254261533671,1.3813193431568433
Tripura,5,4.08,-0.17001254261533671,1.3813193431568433
Tripura,6,2.43,-0.17001254261533671,1.3813193431568433
Tripura,7,2.04,-0.17001254261533671,1.3813193431568433
Tripura,8,1.670145299145299,-0.17001254261533671,1.3813193431568433
Tripura,9,1.9127585470085469,-0.17001254261533671,1.3813193431568433
Tripura,10,1.8684483016983016,-0.17001254261533671,1.3813193431568433
Tripura,11,1.7988704073704072,-0.17001254261533671,1.3813193431568433
Tripura,12,2.14303354978355,-0.17001254261533671,1.3813193431568433
Tripura,13,1.966296065046065,-0.17001254261533671,1.3813193431568433
Tripura,14,1.9669804639804638,-0.17001254261533671,1.3813193431568433
Tripura,15,1.6090799755799756,-0.17001254261533671,1.3813193431568433
Tripura,16,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,17,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,18,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,19,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,20,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,21,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,22,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,23,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,24,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,25,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,26,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,27,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,28,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,29,1.888342213342213,-0.17001254261533671,1.3813193431568433
Tripura,30,1.888342213342213,-0.17001254261533671,1.3813193431568433
