State,Day,Predicted_Population,Model_R²,Model_MAE
Puducherry,1,2.0259262959262965,-0.1926539548774513,0.38333328513591647
Puducherry,2,1.9646770174270174,-0.1926539548774513,0.38333328513591647
Puducherry,3,1.9968290043290042,-0.1926539548774513,0.38333328513591647
Puducherry,4,1.948972222222222,-0.1926539548774513,0.38333328513591647
Puducherry,5,1.9468676323676322,-0.1926539548774513,0.38333328513591647
Puducherry,6,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,7,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,8,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,9,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,10,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,11,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,12,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,13,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,14,1.871623765123765,-0.1926539548774513,0.38333328513591647
Puducherry,15,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,16,1.871623765123765,-0.1926539548774513,0.38333328513591647
Puducherry,17,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,18,1.871623765123765,-0.1926539548774513,0.38333328513591647
Puducherry,19,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,20,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,21,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,22,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,23,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,24,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,25,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,26,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,27,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,28,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,29,1.8716237651237655,-0.1926539548774513,0.38333328513591647
Puducherry,30,1.8716237651237655,-0.1926539548774513,0.38333328513591647
